response_id,duration_in_seconds,finished,recorded_date,location_latitude,location_longitude,distribution_channel,user_language,consent_age,consent,age,gender,rv_screen,race,education,income,party_id,pid_lean,x2020_vote,need_for_cognition_1,need_for_cognition_2,need_for_cognition_3,x2024_horserace,x2024_horserace_7_text,x2024_horserace_push,x2024_horserace_push_6_text,favorabilities_1,favorabilities_2,favorabilities_3,favorabilities_4,ideology_1,ideology_2,ideology_3,ideology_4,ideology_5,ideology_6,ideology_7,social_support_1,social_support_2,social_support_3,social_support_4,social_support_5,social_support_6,social_support_7,econ_support_1,econ_support_2,econ_support_3,econ_support_4,econ_support_5,econ_support_6,econ_support_7,econ_support_8,econ_support_9,econ_support_10,foreign_support_1,foreign_support_2,foreign_support_3,foreign_support_4,foreign_support_5,foreign_support_6,foreign_support_7,foreign_support_8,social_party_support_1,social_party_support_2,social_party_support_3,social_party_support_4,social_party_support_5,social_party_support_6,social_party_support_7,econ_party_support_1,econ_party_support_2,econ_party_support_3,econ_party_support_4,econ_party_support_5,econ_party_support_6,econ_party_support_7,econ_party_support_8,econ_party_support_9,econ_party_support_10,foreign_party_suppor_1,foreign_party_suppor_2,foreign_party_suppor_3,foreign_party_suppor_4,foreign_party_suppor_5,foreign_party_suppor_6,foreign_party_suppor_7,foreign_party_suppor_8,senate_control,house_control,scotus_control,scotus_appointments,gerrymandering_def,ec_mechanics,amendment_mechanics,filibuster,scotus_bias,money_vs_ideology,npv,threat_max_diff_1,threat_max_diff_2,reform_max_diff_1,reform_max_diff_2,prolific_pid,study_id,session_id,reform_statement1,reform_statement2,reform_statement3,reform_statement4,threat_statement1,threat_statement2,threat_statement3,threat_statement4,q_straightlining_count,q_straightlining_percentage,q_straightlining_questions
11,366,1,2024-10-07,40,-80,anonymous,EN,1,2,2,2,1,1,3,4,3,2,2,2,3,4,6,NA,2,NA,2,5,3,5,3,7,7,7,7,7,7,2,4,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,5,NA,NA,5,NA,NA,5,NA,5,5,5,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,NA,5,NA,NA,5,NA,5,4,4,4,4,4,4,4,4,3,3,3,2,1,1,2,648b61896bde60c2fef683a1,66da270a6acf8cbd58dc85fe,67044272f782d62cbd1dfc8c,"We need to enact a universal voter ID law, requiring all Americans to show a valid ID before voting in any federal election. This ensures that only citizens are voting which guards against fraud, and ensures trust in the democratic process.","We need to restore the 1965 Voting Rights Act. Across the country, voting rights are under threat as politicians use voter suppression tactics to disenfranchise minority voters and violate their 15th Amendment right to vote.","The problem with our politics is that primary elections are decided by a minority of ideologically extreme partisans. Instead, we should have all candidates run in the same primary, regardless of party affiliation, and then have a runoff between the top two. This will lead to more moderate politicians.","Our system of government isn’t perfect, but most changes would make it worse, not better. Lots of proposals sound great on paper, but we don’t know how they’d play out in reality. Our current system is what the founders envisioned, and we shouldn’t second-guess the wisdom of their design.",Having only two political parties,Attempts to overturn elections,Extremism from both sides equally,Gerrymandering,4,0.4444444444444444,"QID52,QID54,QID55,QID56"
12,502,1,2024-10-07,39,-85,anonymous,EN,1,2,2,2,1,1,6,6,3,1,1,3,5,4,8,NA,3,NA,4,4,4,4,5,1,1,1,1,1,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,4,4,NA,1,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,5,3,NA,4,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA,1,2,2,1,1,2,1,3,2,2,1,1,1,1,1,5f2dd487a76c821124ca8ade,66da270a6acf8cbd58dc85fe,6704421c60a0345dff8672e4,"We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.","We need to let the House of Representatives grow with the population. In 1929, the House was capped at 435 members. That means that every 10 years, some states lose representation in Congress, even if their population is growing.","We need new leadership. The leaders of both parties have been in office too long, and they’ve proven themselves either incapable of or unwilling to solve problems. It’s time for some fresh faces from a new generation.","We should make Washington, DC, and Puerto Rico into states. Right now, residents of both are US citizens but don’t have a say in Congress. Taxation without representation? That’s not what America is about.",Voter ignorance of how our government works,Voter ID laws,Attempts to overturn elections,Lack of patriotism,1,0.1111111111111111,QID18
13,252,1,2024-10-07,38,-79,anonymous,EN,1,2,2,2,1,1,4,2,2,NA,2,3,3,4,2,NA,NA,NA,2,2,3,3,3,2,2,3,4,4,4,1,4,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,5,NA,3,NA,1,NA,5,NA,NA,1,NA,NA,1,4,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,5,NA,2,NA,5,NA,NA,1,NA,NA,1,2,4,4,4,3,4,3,1,3,3,2,2,2,1,667838be776b27f8705b6c3c,66da270a6acf8cbd58dc85fe,6704434ac208d1a846dff75a,"We need to overturn Citizens United, a 2010 Supreme Court case that struck down campaign contribution limits for corporations. The wealthy have too much influence in politics, and corporations making unlimited donations to candidates is just legalized corruption.","It is time to take election fraud seriously. Whether it is foreign governments trying to influence our elections or non-citizens casting ballots, we need to take concrete steps to crack down on election interference and make sure that only eligible citizens vote in our elections.","We need to switch to a system of proportional representation for the US House of Representatives. Proportional representation means that a party gets the same percentage of seats in the House of Representatives as the percentage of votes they receive. This way, everyone's opinions are more fairly represented. It makes the system fairer for all parties.","Our system of government isn’t perfect, but most changes would make it worse, not better. Lots of proposals sound great on paper, but we don’t know how they’d play out in reality. Our current system is what the founders envisioned, and we shouldn’t second-guess the wisdom of their design.",Voter ID laws,Extremism from both sides equally,Voter ignorance of how our government works,Election fraud,1,0.1111111111111111,QID55
14,56,1,2024-10-07,34,-87,anonymous,EN,1,2,1,1,5,5,2,2,3,2,5,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667ed52ce58ceb22e05eeb85,66da270a6acf8cbd58dc85fe,670444235d5e34d0b555b740,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
15,444,1,2024-10-07,39,-95,anonymous,EN,1,2,3,1,1,1,5,4,3,1,3,2,4,4,4,NA,NA,NA,4,4,3,2,3,1,2,1,4,4,5,1,NA,NA,2,2,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,2,NA,3,NA,NA,3,1,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,2,2,NA,2,1,2,1,1,1,4,4,2,2,1,2,2,2,1,5d349bd92705fe001c5ad371,66da270a6acf8cbd58dc85fe,670442aa4962e498eca3cbb0,"We need to let the House of Representatives grow with the population. In 1929, the House was capped at 435 members. That means that every 10 years, some states lose representation in Congress, even if their population is growing.","These days Congress can’t get anything done. It is unable to fix pressing problems because of gridlock. We need a national referendum process where we allow Americans to directly vote up or down on proposed policies, which almost every state already allows.","We need an age limit on candidates for president. Both the current and previous presidents are showing clear signs of cognitive decline. No person over 75 should be eligible for office, and all candidates should be required to take cognitive tests.","It is time to take election fraud seriously. Whether it is foreign governments trying to influence our elections or non-citizens casting ballots, we need to take concrete steps to crack down on election interference and make sure that only eligible citizens vote in our elections.",Our democracy is not really under threat,The Electoral College,Voter ID laws,Voter ignorance of how our government works,2,0.2222222222222222,"QID52,QID56"
16,29,1,2024-10-07,33,-97,anonymous,EN,1,2,2,1,4,1,6,4,2,NA,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5d21ea1ebf7f840001701986,6704414f026babc0c70b4c16,67044486f782d62cbd1dfd0e,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
17,213,1,2024-10-07,47,-97,anonymous,EN,1,2,3,2,1,1,2,3,1,NA,1,5,5,4,1,NA,NA,NA,4,4,1,1,5,1,1,1,5,5,5,1,NA,NA,NA,4,1,NA,NA,NA,5,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,2,1,NA,NA,NA,4,NA,NA,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,1,2,4,1,1,1,4,4,4,2,1,4,3,2,2,2,1,5f5797c54d47e72494ff5840,6704414f026babc0c70b4c16,670443a3e4f10d862b475eaf,"We need to end the Senate filibuster. The filibuster lets just 41 senators block bills, even if they’re supported by bipartisan majorities. It’s just another tool to promote gridlock, and it is time for it to go.","We need to implement participatory budgeting, a system where community members are empowered through civic engagement to suggest and vote on ideas for spending a portion of a state or locality’s budget.","We need term limits for Congress. We don’t need career politicians staying in office for decades, twelve years is long enough — that’s two terms for senators and six terms for representatives.","We should only use paper ballots for our elections. Right now, some states use electronic voting machines, where election results can be manipulated. Paper ballots are safe from hacking and can be hand-counted, reducing fraud.",Left-wing extremism,Partisanship,Having only two political parties,Gerrymandering,2,0.2222222222222222,"QID51,QID55"
18,647,1,2024-10-07,41,-74,anonymous,EN,1,2,2,2,1,2,6,5,3,1,1,3,3,4,1,NA,NA,NA,4,3,1,2,3,1,1,1,5,5,5,1,4,NA,NA,3,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,2,NA,NA,2,NA,3,NA,1,2,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,1,NA,1,1,2,1,4,4,1,4,3,2,1,1,2,2,2,657f2c310745eab2771264d8,66da270a6acf8cbd58dc85fe,6704423e18b37cd3ec056053,"We need to overturn Citizens United, a 2010 Supreme Court case that struck down campaign contribution limits for corporations. The wealthy have too much influence in politics, and corporations making unlimited donations to candidates is just legalized corruption.","In 1776, the founding fathers brought forth a new nation, conceived in liberty, and dedicated to the proposition that all men are created equal. Today, each of us as individuals must strive to uphold that ideal, and ensure that that government of the people, by the people, for the people, shall not perish from the Earth.","It is time to take election fraud seriously. Whether it is foreign governments trying to influence our elections or non-citizens casting ballots, we need to take concrete steps to crack down on election interference and make sure that only eligible citizens vote in our elections.","We need to restore the 1965 Voting Rights Act. Across the country, voting rights are under threat as politicians use voter suppression tactics to disenfranchise minority voters and violate their 15th Amendment right to vote.",Left-wing extremism,Voter ID laws,Right-wing extremism,Attempts to overturn elections,1,0.1111111111111111,QID51
19,522,1,2024-10-07,30,-95,anonymous,EN,1,2,2,2,1,1,5,3,1,NA,1,4,3,4,1,NA,NA,NA,4,4,1,1,5,2,1,1,4,5,4,2,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,4,1,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,4,NA,NA,NA,1,2,2,2,2,2,1,1,1,4,2,2,1,2,1,2,1,5ea84c48a09cad262fa841c9,66da270a6acf8cbd58dc85fe,670442c1d47afd4ba3bbde94,"The Constitution is meant to be a living document, that American citizens adapt and modify to keep up with changing times. But these days, it’s just too hard to change. We need to make it easier to amend the Constitution so it can better address current problems.","We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.","The biggest problem in politics is extremism, on both sides. Both parties have been captured by activists who are out of touch with the public and only want to push their own ideological agendas. Politicians need to be more moderate like most Americans are.","We need to let the House of Representatives grow with the population. In 1929, the House was capped at 435 members. That means that every 10 years, some states lose representation in Congress, even if their population is growing.",Having only two political parties,Voter ignorance of how our government works,Economic inequality,Election fraud,2,0.2222222222222222,"QID51,QID55"
20,413,1,2024-10-07,26,-80,anonymous,EN,1,2,2,2,1,3,4,2,3,1,1,3,4,4,1,NA,NA,NA,4,4,2,2,4,1,1,1,3,4,3,NA,NA,NA,1,4,NA,4,NA,5,NA,NA,5,NA,1,NA,NA,NA,NA,5,1,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,2,NA,5,NA,NA,5,NA,1,NA,NA,NA,NA,3,4,NA,NA,NA,1,NA,4,4,2,4,2,1,1,4,2,2,1,1,2,1,2,66972754b8048b03d8b5e80b,66da270a6acf8cbd58dc85fe,6704434ba0080030a2835685,"We need to overturn Citizens United, a 2010 Supreme Court case that struck down campaign contribution limits for corporations. The wealthy have too much influence in politics, and corporations making unlimited donations to candidates is just legalized corruption.","We need to switch to a system of proportional representation for the US House of Representatives. Proportional representation means that a party gets the same percentage of seats in the House of Representatives as the percentage of votes they receive. This way, everyone's opinions are more fairly represented. It makes the system fairer for all parties.","We need to enact a universal voter ID law, requiring all Americans to show a valid ID before voting in any federal election. This ensures that only citizens are voting which guards against fraud, and ensures trust in the democratic process.","We need to let the House of Representatives grow with the population. In 1929, the House was capped at 435 members. That means that every 10 years, some states lose representation in Congress, even if their population is growing.",Attempts to overturn elections,Immigration bringing in new voters who don’t share American values,Left-wing extremism,Influence of wealthy donors,0,0,NA
